ar,cz,norm,cat_id,root_id,stem,stem_vowel,plural,masdar,val,transcription,meaning_variant,synonyms_ids,tags_ids,examples_ids,source_ids,disabled
صَنْدُوقٌ (صَنَادِيقُ),"bedna, schránka (1); fond (2)",,[9],460,,,,,,"ṣandūqun, ṣanādīqu",,,,,[17],false
صناعة,"průmysl, výroba",,[9],18,,,,,,ṣināʿatun,,,,,[17],false
بالإضافة إلى,"nadto, mimo to, krom toho",,[2],30,,,,,,bil-iḍāfatu ilā,,,,,"[1,17]",false
طُنٌّ (أطنان),tuna,,[9],461,,,,,,"ṭunnun, aṭnānun",,,"[17,26]",,"[17,20]",false
عَادَلَ,"rovnat se, odpovídat (něčemu)",,[7],462,[3],,,,هـ,ʿādala,,,,,[17],false
تَعَاقُدٌ,"smlouva, kontrakt",,[9],463,,,,,,taʿāqudun,,,[46],,"[17,20]",false
إعلامي,"publicista, mediální pracovník",,[9],97,,,,,,iʿlāmījun,,,[90],,[17],false
عِمْلاقٌ (عَمَالِقَةٌ),"velikán, gigant, (červený) obr [hvězda]",,[9],464,,,,,(أَحْمَرٌ),"ʿimlāqun, ʿamāliqatun",,,"[50,57]",,"[17,20,21]",false
عملة (ات),měna,,[9],21,,,,,,ʿumlatun,,,[53],,"[17,20]",false
غاز (ات),plyn (tabí3íjun = zemní),,[9],87,,,,,,ġāzun,,,"[35,37]",,"[17,20]",false
اِسْتِغْلاَلٌ,"využití (1); též vykořisťování, zneužívání (2)",,[9],465,[12],,,,,istiġlālun,,,"[19,48,50]",,"[1,17,20]",false
فرعي,"dílčí, vedlejší",,[1],466,,,,,,farʿījun,,,,,[17],false
فِضِّيٌّ,stříbrný,,[1],467,,,,,,fiḍḍījun,,,,فِضِّيُّ ٱللَّونِ stříbrné barvy,[17],false
تَفَوُّق,"převaha, prvenství",,[9],468,,,,,,tafauwwuqun,,,[50],,"[17,20]",false
قَابِلٌ,vhodný (k),,[1],151,,,,,بـ,qābilun bi,,,,,"[17,20]",false
مقابِلَ,oproti (za...),,[6],151,,,,,,muqābila,,,[48],,"[1,17]",false
قُصْوَى,maximální (ženský rod),,[1],469,,,,,,quṣwā,,,,,[17],false
"قوّة (قُوًّى, قُوّات)",síla,,[9],470,,,,,,quwwatun,,,,,[17],false
أكثر,více než,,[2],319,,,,,بـ,,,,,,[17],false
مكعّب,krychlový,,[1],471,,,,,,mukaʿʿabun,,,,,[17],false
تَكَوَّنَ,"sestávat (z), skládat se (z)",,[7],397,[11],,,,من,takawwana,,,"[5,67]",,"[17,20,23]",false
مَكَانَةٌ,"místo, umístění, postavení, pořadí",,[9],40,,,,,,makānatun,,,[50],,"[17,20]",false
لافِتٌ,"nápadný, pozoruhodný",,[1],472,,,,,,lāfitun,,,,,[17],false
مِثْلماَ,tak jako,,"[2,3]",417,,,,,,miṯlamā,,,,,"[17,20]",false
ميدالية,medaile,,[9],87,,,,,,mīdālījatun,,,,,[17],false
نَحْوٌ,"syntax, větná skladba",,,473,,,,,,naḥwun,,,[23],,,false
"نسخة , نسخ","kopie, exemplář",,[9],474,,,,,,"nusḫatun, nusaḫun",,,,,[17],false
نَسَمَةٌ (ات),"duše, člověk (statistický údaje) (1); dech (2); dýchající, živá bytost (3)",,[9],475,,,,,,nasamatun,,,"[50,64]",,"[17,20]",false
منظّمة,organizace,,[9],98,,,,,,munaẓẓamatun,,,,,[17],false
تَنَافَسَ,"soupeřit, závodit, zápolit",,[7],289,[10],,,,,tanāfasa,,,[48],,"[1,17]",false
نفط,"nafta, ropa",,[9],95,,,,,,nafṭun,,,"[17,37]",,"[17,20]",false
نُهُوض,vzestup,,[9],163,,,,,,nuhūḍun,,,[50],,"[17,20]",false
نهائي,"konečný, finální",,[1],250,,,,,,nihāʾījun,,,,,[17],false
"نائب , نوّاب","poslanec, zástupce",,[9],476,,,,,,"nāʾibun, nuwwābun",,,,,[17],false
مُوَاصَلَةٌ,pokračování,,[9],168,,,,,,mawāṣalatun,,,[50],,"[17,20]",false
توقيت,"čas, časové pásmo",,[9],169,,,,,,tawqītun,,,,,[17],false
وَقَعَ (ـَ، يَقَعُ) وُقُوعٌ,"nacházet se, ležet (1); přihodit se (negativní konotace a jevy) (2); odehrávat se (3); spadnout (4)",,[7],213,[7],,,,,waqaʿa,,,"[6,67]",,"[17,20]",false
وُلِدَ,narodil se,,[7],32,[7],,,,,wulida,,,"[6,67]",,[17],false
"مرِض (ـَـ, مَرَضٌ)",onemocnět,,[7],477,[7],,,,,,,,,,[20],false
عزم (ـِ) عَزْمٌ,rozhodnout se (k/že),,[7],478,[7],,,,على (أنْ),ʿazama ʿalā (an),,,[48],,"[1,16,20]",false
"كشف (ـِـ, كَشْفٌ) {2}","objevit, odhalit (koho co?)",,[7],433,[7],,,,هــ/عن,kašafa (jakšifu) kašfun ʿan,,,,,[20],false
نقاب (مناقبة),závoje na obličeji (žena zahalená i s niqábem),,,380,,,,,,,,,"[31,45]",,[20],false
حجاب (محاجبة),šátek na hlavu a krk (žena s hidžábem - splňující pravidla),,,479,,,,,,,,,"[31,35,45]",,[20],false
بُرْقعَ (بَرَاقعُ),burka,,,480,,,,,,,,,"[31,45]",,[20],false
طابورٌ (طَوَابِيرُ),"fronta, zástup",,,481,,,,,,,,,[50],,[20],false
جامعٌ (جوامعٌ),páteční mešita,,,177,,,,,,,,,"[31,41,48]",,"[1,20]",false
مُفرَد (ات),"lexém, slovo (více lingvisticky)",,,482,,,,,,,,,"[48,89]",,"[1,20]",false
مرة أخرى,"znovu, ještě jednou",,[2],323,,,,,,,,من جديدٍ,,,[20],false
قَلْعَةٌ (قِلاعٌ),"hrad, citadela",,,432,,,,,,,,,"[24,41]",,[20],false
مُجَرَّدُ,"pouhý, samotný",,[1],483,,,,,+ neurčené GS,muǧarradun,,,,,[20],false
حفظ (ـَـ),:),,[7],389,[7],,,,,,,,,,[20],false
جَوَاز,cestovní pas,,,388,,,,,,,,,"[10,46]",,[20],false
حديث (أحديثة),"vyprávění, rozhovor, interview",,,133,,,,,,,,,"[35,50]",,[20],false
دارُ البلديةُ,radnice,,,182,,,,,,,,,"[41,48]",,"[1,20]",false
تذكرة طائرةٍ,letenka,,,225,,,,,,,,,[10],,[20],false
سيارةُ الأجرةٍ,taxi,,,121,,,,,,,,,[10],,[20],false
شُبَّاك (شبابيكُ),okno,,,364,,,,,,,,,[9],,[20],false
صَفٌّ (صُفُوف),řada,,[9],484,,,,,,,,,[50],,[20],false
انطِبَاع (ات),dojem,,[9],191,,,,,,inṭibāʿun (-āt),,,"[32,48,50]",,"[1,16,20]",false
عِبَارَة (ات),"výraz, formulace, rčení",,,394,,,,,,,,,"[48,50]",,"[1,20]",false
إعَدَادٌ,příprava,,,290,,,,,,,,,"[48,50]",,"[1,20]",false
معلمٌ (معالمُ),pamětihodnost,,[9],97,,,,,,maʿlamun maʿālimu,,,"[10,24,32,48]",,"[1,16,20]",false
عُنوَانٌ (عَنَاوِينٌ),"adresa, titulek",,,485,,,,,,,,,[46],,[20],false
قُنْصُلٌ (قَنَاصِلُ),konzul,,[9],87,,,,,,qunṣulun (qanāṣilu),,,"[46,60]",,"[20,23]",false
مقهى (مقاهٍ),kavárna,,,486,,,,,,,,,"[41,85]",,[20],false
مَعِدَةٌ (مِعَدٌ),žaludek,,[9],274,,,,,,maʿidatun (miʿadun),,,"[48,76]",,"[1,16,20]",false
حتى الآن,dosud,,[6],487,,,,,,ḥattā al-āna,,,,,"[16,20]",false
ساري المَفْعُولِ,platný,,[1],488,,,,,,sārī al-mafʿūli,,,[48],,"[1,16,20]",false
لم يكن منه إلاَّ أنْ ...,nezbylo mu než ...,,[5],397,,,,,,,,,,,[20],false
كنيسة (كنائس),kostel,,,489,,,,,,,,,"[31,41]",,[20],false
قِسْمٌ (أقسامٌ),"oddělení, katedra",,,202,,,,,,,,,"[46,89]",,[20],false
ذَكَرَ (ـُ) ذِكْرٌ/ذِكْرَى/تَذْكَارٌ,"zmínit (něco), uvést (něco), zmínit se (o něčem)",,[7],225,[7],,,,هـ,ḏakara (jaḏkuru) ḏikrun/ḏikrā/taḏkārun,,,,,"[20,23]",false
استخراجٌ,těžba (proces dostávání něčeho ven),,[9],53,[12],,,,,istiḫrāǧun,,,"[19,50]",,"[17,20]",false
مَرْحَلَة (مراحل),etapa,,[9],490,,,,,,"marḥalatun, marāḥilu",,,[86],,"[17,20]",false
زيادة,"zvýšení, nárust",,,457,,,,,,,,,"[48,50]",,"[1,20]",false
غاز طبعيٌّ,zemní plyn,,,87,,,,,,,,,[37],,[20],false
مَتْرٌ (أمتارٌ),metr,,[9],87,,,,,,"matrun, amtārun",,,[26],,"[17,20]",false
مَنْجَمٌ (مناجمُ),důl,,[9],491,,,,,,"manǧamun, manāǧimu",,,"[41,48]",,"[1,17,20]",false
نِسْبَةٌ (نِسَبٌ),"vztah, příbuznost (1); poměr, procento, míra (2); měřítko (3)",,[9],77,,,,,,"nisbatun, nisabun",,,"[48,50]",نسبة البِطَالة (míra nezaměstnanosti),"[1,17,20,27]",false
بَالِغٌ,"velký, výrazný",,[1],444,,,,,,,,,,,[20],false
سادسٌ,šestý,,"[1,4]",492,,,,,,,,,,,[20],false
وطني,národní,,[1],410,,,,,,,,,,,[20],false
حَوْلَ,o (týkající se čeho),,[6],78,,,,,,,,,,,[20],false
الصينُ,Čína,,,95,,,,,,,,,"[18,22,71,74]",,[20],false
نَحْوَ,"zhruba, asi, kolem (před číslovkou)",,[2],473,,,,,,,,,[48],,"[1,17,20]",false
اِتِّفاقٌ (ات),dohoda,,[9],212,,,,,,ittifāqun,,,"[35,46,48]",,"[1,17,20]",false
مثل هذه البيت,takovéto domy,,,493,,,,,,,,,"[63,68]",,[20],false
مثل هذه الأسئلة,takovéto otázky (použití s neosobním plurálem),,,33,,,,,,,,,"[63,68]",,[20],false
أمثالُ هؤلاءِ الصحفيين,takovíto novináři (spojení s osobním plurálem),,,417,,,,,,,,,"[48,63,68]",,"[1,20]",false
مثل (أمثالٌ),"""""""takový"""" (použití různé)""",,"[1,3]",417,,,,,,,,,[35],,[20],false
قدّم نَفسَهُ/أنفسم,představit se (někomu),,[7],152,[4],,,,لـ/إلى,,,,[48],,"[1,20]",false
سوقٌ دوليةٌ,mezinárovní veletrh - na sjednávání kontraktů a tak,,,494,,,,,,,,,"[63,68]",,[20],false
مَعْرِضُ الكتبٍ,knižní veletrh (výstavní akce),,,262,,,,,,,,,"[63,68]",,[20],false
كلُّ وقتٍ,kdykoliv,,[2],287,,,,,,,,,[86],,[20],false
